번호	글쓴이	날짜	조회수	추천수	댓글수	제목	URL	본문
22	쓰니	2022.02.28 20:04	502	8	2	36년동안 제일 힘든 시기에...	https://pann.nate.com/talk/365292522?page=1	안녕하세요 처음으로 이런걸 가입해서 작성해보는 인천에 거주하고 있는 남성 입니다.평소에는 네이트판 그냥 글 한번씩 읽어보고 사람 사는 이야기들을 보고 이슈 같은것들도 읽어보고 했는데, 제가 직접 이렇게 글을 작성 할줄은 몰랐네요.어디서부터 이야기를 해야할까요.. 제목에서 쓴것처럼 사람은 보통 살아가면서 3번정도 기회를 얻고 귀인을 만나게 된다는데이번에 그 기회 혹은, 귀인을 만나게 된것같네요.어릴적부터 일찍이 아버님이 돌아가시고 몸 안좋으신 어머니를 모시고 커왔습니다.집안은 항상 어려워서 차상위로 어머니가 등록이 되시고 하루하루 힘들게 지내다보니남들 다 졸업하는 고등학교도 제대로 졸업을 못했습니다.당연히 제가 못배운것도 있지만, 그때 어머니가 쓰러지시면서 외아들인 저는 직접 돈을 벌어야했거든요....... 무튼 그렇게 살면서어렵게 어머니랑 가게 하나 하려던거 동네에서 친하게 커왔던 형이라는 사람에게 사기당하고 또 다시 무너지고 무너지다가 몇년전부터 어렵사리 뒤늦게 배운 디자인으로힘들게 아주 작은 디자인회사를 꾸렸습니다. 그리고 매달 직원들 급여도 늦게 주면서도 직원들은 고맙게도 버텨주었고 단언코 한번도 내 이득을 위해서 돈을 챙겨본적도 없습니다.그러다가 우연한 기회에 규모는 크지 않지만 열정적인 치킨 프랜차이즈 회사와의협업을 하게 되어서 무진장 기뻤던게 아직도 생각이 나네요.. 벌써 그렇게 디자인 업무를 맡아서 하게 된지도 언 5년 정도가 되었습니다.근데, 신은 저를 도와주지 않는건지, 아니면 나름대로 열심히 산다고 했는데 더 열심히 살아야하는건지, 코로나라는 직격탄을 맞으면서 거래처들이 입금해줘야 할 금액들을 점점 미뤄지게 되고 회사가 폐업하기도하고안 팎으로 문제가 생기면서 당장 손에 쥐고 있는 현금이 없었습니다.대출은 대출대로 막혀있고.. 제가 내야하는 공과금이나 월세들이나, 월급들은 일주일 이상씩 밀리면서 줘야하고 이미 채권추심에 걸린지도 몇달이 되었고요..이런게 반복되다보니 버티고 버티다가 더이상 회사를 유지할수가 없겠더라고요.끝까지 어떻게든 버텨보려 노력했지만 도저히 안될것같고, 그렇게 업체 하나 하나씩찾아뵙고 사과드리고 더이상 유지하기가 힘들다고 설명 드리고 뒤에서 눈물흘렸습니다.아직도 어리지만 정말 청춘을 다 바쳤는데, 이렇게 되니 이제는 제 능력이 부족이구나 싶더라고요..그리고 마지막으로 가장 오랜시간 호흡을 맞춘 치킨프랜차이즈 대표님을 찾아가서 인사를 드리려는데 참 시간이 오래 정을 나눠서 그런지 다음에 가자 다음에 가자 미루다보니결국 마지막으로 인사를 가게 됬죠.. 그리고 상황을 설명 드리고 사과를 드리는데 아무말 없이 대표님이 묵묵히 이야기를 들어주시다가 잠시 화장실 다녀오신다고 하시더라고요.. 그리고 그냥 앉아있는 제 핸드폰으로 3천만원이 입금됬습니다. 네 대표님이 해주셨어요....어안이 벙벙하고 눈물이 핑도는데 대표님이 들어오시더라고요.저도 압니다. 얼마나 바보같고 이렇게 받으면 안되는걸, 근데 너무 눈물이 나더라고요.괜찮다고 한사코 말씀드렸지만 꼭 다시 일어나서 더 갚아달라고 하셨습니다.그래서 프린터기에 있는 A4용지를 제가 직접 가지고와서 각서를 쓰기 시작했습니다.어떻게든 각서라도, 차용증이라도 쓰고 싶었거든요.근데 대표님은 지금 뭐하시냐면서 제 펜을 뺏으시고는 종이를 찢으시더라고요.우리가 함께 그동안 호흡 맞춘게 얼만데 그러냐고, 지금 현금이 많이 없어서이것밖에 돕지 못해서 미안하다고.. 정말 눈물이 나더라고요...몇달전에 직원들 월급이 없어서 정말 눈 딱감고 선입금좀 부탁 드렸을때도 도와주셨거든요.. 누군가에게는 큰 돈이고, 누군가에는 얼마 안되는 돈 일수도 있겠죠.근데 저도 압니다.대표님도 매장 오픈하시고 아직 크지 않은 프랜차이즈이기에 늘 직접 몸으로 뛰시면서지금도 매장에서 자주 근무하시는것도 압니다.1억 있는 사람이 7천만원 준거랑, 3500만원 있는사람이 3천만원 준거, 어떤게 더 개인적으로 값어치가 있는지 저도 느껴서 압니다.항상 감사합니다. 그리고 속으로 존경해왔습니다.각 지역에 장애인이나, 보육시설에 누가 알아주지 않아도 후원하시고 기부하시고딱히 티도 내지 않으셨던것도 멋있었습니다.언젠가 제가 그랬죠 조금 더 마케팅적으로 써보시라고 홍보 되면 더 좋지않냐고그러니까 대표님이 해주셨던 말이 기억나네요.힘든 사람들한테는 어쩌면 이런 닭 한마리 한마리를 기다리면서 행복한 기다림의 시간을보낼텐데, 단순히 이런걸 홍보적으로만 생각하고 한다면, 사회적 약자들을 내가 또 이용하는거아니겠냐고..............그때 많이 놀랐고 존경했습니다. 단순히 돈을 주셔서가 아닙니다. 정말 감사합니다. 그래서 집에 돌아오는 길에 정말 많이 눈물을 흘리고직원들한테 밀린 월급을 줄 수 있었습니다.그리고 다시 일어나려고 합니다.제가 그리고 저희 회사가 책임지고 하던 업무들앞으로도 더 열심히해서 더 커진 다음, 언제든 도움이 된다면 도움에 앞장 서도록 하겠습니다. 글을 쓰다보니 두서없이 길게 썻네요.감사한마음을 어떻게 표현할까 하다가 생각나서 써봅니다.사진같은것도 같이 올리는게 더 신빙성 있을것같아서 같이 올립니다 감사합니다
23	주토니	2022.02.28 15:11	171	2	1	간만에 십센치 목소리 들을 ...	https://pann.nate.com/talk/365288475?page=1	십세계 앱 보니까 봄맞이 콘서트 하는거 같던데라인업이 무려 십센치랑 이하이래요십센치 노래 진짜 다 좋은데 간만에 목소리 들을 수 있는 기회네요3월 3일 저녁 8시 부터 시작하는데공연 참여하면 쇼핑쿠폰이랑 커피쿠폰도 주는거 같아요봄엔 역시 십첸치 노래는 들어줘야죠 ㅎㅎ
24	효효	2022.02.28 13:04	204	3	1	버려진 아기고양이 나비 입양일지	https://pann.nate.com/talk/365287038?page=1	
25	쓰니	2022.02.28 13:00	185	0	0	서울역 길냥이의 냥생역전	https://pann.nate.com/talk/365286991?page=1	퍼스트 캣 될지도?
26	쓰니	2022.02.28 12:59	138	0	0	서울역 길냥이의 냥생역전	https://pann.nate.com/talk/365286990?page=1	퍼스트 캣 될지도?
27	헐퀴	2022.02.28 00:27	444	0	0	마기꾼 셀프 테스트 해보자 (마기력...	https://pann.nate.com/talk/365279873?page=1	안녕하세요. 코로나가 지속적으로 긴 시간이 이어지면서, 마스크는 일상속 필수템이 되었습니다.자신이 마스크를 썻을때, 마기꾼인지 테스트해보기 위해 앱 하나 개발했습니다.딥러닝을 통해 유명한 연예인들을 바탕으로 수만장의 데이터를 수집하여, 제작 되었습니다. 구글스토어, 앱스토어 모두 사용 가능합니다.  "마기력 테스트"를 다운받아보세요! (마기꾼 테스트 X-> 마기력 테스트)
28	쓰니	2022.02.25 18:52	213	0	1	웹자친구 mbti	https://pann.nate.com/talk/365240735?page=1	혹시 웹자친구 인물들 mbti 아는 사람 있어?? 요즘 빠진 웹툰인데 재밌더라 근데 갑자기 mbti가 왕 궁금해짐 아는 사람 있음 알려죠
29	쯔니	2022.02.25 10:53	189	0	1	드디어 신세계 APP에서 N...	https://pann.nate.com/talk/365235550?page=1	혹시 여기도 신세계 APP 쓰시는 분 있으세요?이틀 전에 기사 통해서 보긴 했는데 신세계 APP에서업계 최초로 NFT를 발급한다고 하네요~ 확실히 신세계가 NFT에 앞서가는 모습을 보이는 것 같아요이번에는 봄맞이 기념 Spring Vibes를 각 5개 영상을 각 200개씩총 1000개를 이벤트 경품으로 준비했다고 합니다 ㄷㄷㄷ NFT 외에도 식사, 디저트 쿠폰도 준다고 하네요 ㅎ지금 신세계 APP 들어가면 참여 가능하니 다들 해보세요 :D
30	쓰니	2022.02.23 08:27	302	0	0	훌륭하신 선생님	https://pann.nate.com/talk/365204070?page=1	수고합니다 2014년부터 2019년 까지 원불교에서 운영하는 지역 아동센터에 6년동안 자녀가 다녔는데 아동 선생님은 근무일도 아닌 토요일 마다 아동들 인솔해서 야외 풀장이며 명승지 탐방하시고 시내 영화관에도 인솔하시고 이건 대수로운 일이지만 아동들한테는 세상에 태어나서 처음 단체로 극장에 가는 것이겠죠. 저는 선생님이 아동을 위해서 세상에 온분이라는 생각을 떨쳐버릴수 없네요. 남여 아동들 각개인마다 축구 유니폼 갖춰  구덕경기장가고  했었는데 성지곡 동물원에도 관람시켜 주시고 친부모님도 이런 정성 안할 것 같은데요.  학부모한테 후원비 말씀도 안하시고, 학부모 의견도 존중 해 주시고, 아이들 추억도 만들어 주시고 사실 초등학교는 졸업장 하나인데,  아동센터서 아동선생님이 굳이 토요일마다 시간을 내서 명승지로 탐방 인솔했었는데 집에 앨범에는 6년 다닌 탐방 사진이 미소짓게 만드네요. 너무나 감사해서 글월 올립니다. 소개한 아동 선생님은 저의 저녀가 중학교 입학과 동시 다른곳으로 갔는가 보여요.
31	ㅇㅇ	2022.02.22 00:35	362	2	0	김보름 선수님 미담 하나 풀고 감	https://pann.nate.com/talk/365181704?page=2	2013년인가 2014년에 동생 중학교로 김보름 선수님이 교생 실습 나오신 적 있었음. 그 때 동생이 있었던 반을 담당하게 됐음.   동생이 김보름 선수님 완전 착하다고 나한테 엄청 자랑하고 선생님 너무 좋다고 맨날 얘기함ㅋㅋㅋㅋㅋ   그 때 동생이 좀 힘든 일이 있었는데 김보름 선수님이 동생 많이 다독여주고 얘기도 많이 들어줬다고 함.   글고 사진도 찍어주고 편지도 써주고 그랬다고 함.   항상 웃는 얼굴로 얘기 들어주고 같이 놀아주고 그랬대  그 얘기 듣고 와 진짜 착하신 분이구나 했는데 이번 올림픽 보니까 괜히 짠하구 계속 그 얘기가 생각나더라   갑자기 선수님 미담 얘기하고 싶어서 여기 그냥 끄적여 본다...ㅎㅎ  선생님 너무 좋다구 막 자랑하던 동생이 이제 대학교 4학년이 되서 교생 실습 나가ㅋㅋㅋㅋㅋㅋ 시간 진짜 빠르넹
32	쓰니	2022.02.21 16:39	161	0	0	안녕하세요	https://pann.nate.com/talk/365172143?page=2	안녕하세용
33	다복맘	2022.02.20 23:52	179	0	0	[청와대청원] 코로나19로부터 우리...	https://pann.nate.com/talk/365163056?page=2	안녕하세요.  오늘은 저의 본인만의 글이 아닌 대한민국의 엄마로서 이렇게 글을 작성합니다.  [관련기사]1. 코로나19 확진된 7개월 남아, 병원 이송 도중 숨져 - 코로나19 확진된 7개월 남아, 병원 이송 도중 숨져 (daum.net) 2. 진료거부당한 생후 6개월 아기...'발열 환자 돌아가세요. - https://m.ytn.co.kr/news/202202170007554273_0115_012.html#return진료 거부당한 생후 6개월 아기..."발열 환자 돌아가세요"[앵커]코로나 19 때문에 응급 환자들이 제때 진료를 받지 못하는 일이 반복되고 있습니다.최근 강원도 춘천에서도 생후 6개월 아기가 열이 난다는 이유로 진료를 거부당했는데요.부모는 상태가 나빠진 아기를 안고 병원을 찾아 떠돌아야 했습니다.홍성욱 기자입니다.[기자]지난해 8월, 눈에 넣어도 아...m.ytn.co.kr3. '미열있네,' 혹한에 19개월 여야 1시간 넘게 배란다에 격리한 어... - https://m.news.nate.com/view/20220215n16030?"미열 있네" 혹한에 19개월 여아 1시간 넘게 베란다 격리한 어린이집 | 네이트 뉴스사회>사회일반 뉴스: (JTBC 보도화면 갈무리) ⓒ 뉴스1 (서울=뉴스1) 최서영 기자 = 전남 순천에서 한 어린이집 원장이 19개월 된 여자아이를 "코로나19 감염이 의심된다"며 영하 0.7도 날씨에 베란다에 격리해 논란이다. 지난 14일 JTBC 보도에 따르면 전남...m.news.nate.com 저는 작년 8월 14일, 36주 6일 출산한 한 남자 아이의 엄마입니다.  이쁘고 아름다운 추억쌓기만해도 부족한 시기에 코로나19가 발생하고 변이가 되어 오늘날 현재는 10만명이 넘는 확진자가 발생하는 현실입니다.  최근 방침에 따라 60세 이상이신 고령층이신 분들도 재택치료, 일반 확진자들은 스스로 관리로 방역 및 의료가 개편되면서 더욱 빠른 확산세에 불안감이 증폭됩니다.  대한민국의 저출산으로 출산을 격려하는 부분은 우리나라 국민이라면 누구나 알 수 있습니다. 근데 제 아이가 열이 나거나, 코로나 증상이 보일 경우, 자가 키트로 양성이 나올 경우 이 아기는 어느 병원으로 신속히 이동해야 하는지 설마 아기들도 집에서 일반으로 분류되어 스스로 관리를 해야 하는 거라면 정말 걱정이 가득합니다.  이제는 정말 주변에서 코로나 확진이 되는 경우가 많이 발생합니다. 한 아이의 학부모님이시라면, 내 아이를 위한 [코로나19사태]에 대한 방침과 대책은 어떻게 되는지 궁굼하시다면 저와 함께 청원을 동의해주시면 감사합니다.  https://www1.president.go.kr/petitions/Temp/bqF5aH
34	ㅇㅇ	2022.02.20 23:06	279	0	0	걸그룹 개인 브랜드평판 2월 결과	https://pann.nate.com/talk/365162070?page=2	2022년 2월 걸그룹 개인 브랜드평판 100위 브랜드는 소녀시대 태연, 블랙핑크 제니, 우주소녀 보나, 블랙핑크 리사, 에스파 윈터, 블랙핑크 지수, 에스파 카리나, 에이핑크 손나은, 레드벨벳 조이, 소녀시대 윤아, 레드벨벳 아이린, 레드벨벳 슬기, 소녀시대 서현,
35	권나나	2022.02.20 06:55	267	0	0	해외목회자분들 난리났어요 ~~	https://pann.nate.com/talk/365152447?page=2	요한계시록 전장 세미나를 전세계 목회자 반응 무료성경공부 신청하기https://han.9l/3XNuy⭐️ 신청번호 : 11016
36	공유	2022.02.16 22:35	490	0	0	레알~ 베트남 시골 휴게소 풍경	https://pann.nate.com/talk/365094677?page=2	(자연친화적인 화장실을 가지고 있는 베트남 어느 시골 휴게소) 오늘은 베트남 하이퐁에서 하롱베이로 오토바이 여행을 떠났습니다.  하이퐁과 꽝닌성 경계지역의 경찰 검문소를 간신히 통과도 하고  정말 외국인은 일도 없는 베트남 어느 시골 휴게소도 즐겨보고  근데 레알~ 여기가... 휴게소라고??? (구독과 좋아요는 무료이고 동영상 제작에 큰힘이 됩니다.)-동영상 링크-https://youtu.be/hPejA55Ny4c
37	DJPA	2022.02.15 23:00	272	0	0	한민족의 발명품들	https://pann.nate.com/talk/365075983?page=2	□안보회의(NSC)를 소집하는데 일본이 4분 걸렸다면 문죄인 괴뢰약탈정부는 93분 걸리고(나라 망하는데 10년이면 차고 넘치고),이스라엘은 집 집마다 무인드론을 방어하기 위한 레이저 돔 구축에 들어가고,미국 영국 러시아에 핵융합 기술개발에 뛰어던 민간회사는 있었지만 한국에는 없었습니다□320 (탄핵무효를 외치다 남로당 칼잽이 윤석렬 만세를 외치고,포항제철이 건설될 때 김영삼과 김대중은 국내에 철강이 필요한 곳이 없는데 어디에 쓰려고 제철공장을 만드느냐 하면서 반대했었고 경부고속도로를 만들 때는 차도 없는데 왜 만드냐 반대(기업가 규제에 반도체와 받데리 이후의 산업이 안 보이고)했었습니다) •고령사회로 보는 65세 이상 인구 비율 14%를 미국이 1990년에 넘기고 일본이 1992년 넘겼다면 한국은 2015년에 넘기고,한국이 고령사회로 진입할 때 국민소득이 2만7천 달러였다면 2020년 차이나가 고령사회로 진입할 때 1인당 국민소득은 만불(가장 고령화가 심각한 동북삼성은 3500불)밖에 되지 않았습니다 신라는 고구리가 강성할 때 백제와 연합하여 나제동맹으로 고구리에 대항하고, 백제가 100만 강병으로 유연제로와 열도를 지배할 때 고구리와 려제동맹으로 백제에 대항했으며, 려제동맹으로 고구리가 백제에게 빼앗은 한강 유역을 빼앗으며 고구리와 백제와 원수가 되었습니다 수 백년 간 백제와 고구리의 영토였던 한강 유역을 신라가 빼앗으므로 신라는 백제와 고구리의 공격을 받으며 국가멸망의 위기에 처하고,648년 당나라와 라당동맹을 맺은 신라는 12년 뒤 백제를 멸망시키고 이어서 8년 뒤 고구리를 멸망시키고 있었습니다 (모세가 이집트에서 62만명의 이스라엘 민족을 데리고 가나안으로 출발했지만 40년을 광야에서 지내는 동안 1세대는 추위와 굶주림과 싸우다 전부 죽고, 사회주의 독재를 피해 먹을 것을 찾아 베네수웰라를 탈출한 난민 수 백만은 수 천 킬로를 걸어 미국 남부 국경에 도달하고 있었습니다) •4% 농축우라늄 1g이 석탄 110kg의 열을 낸다면 원자력발전의 방법으로 중수로 경수로 고속증식로 등 100여가지 방법이 있고, 수소 핵융합로는 관성봉입 핵융합로와 토카막 핵융합로가 있었습니다 1992년 러시아에서 들여온 위그선기술이 2021년 국가 중요핵심 기술에 지정되었다면, 초격차 소형모듈 원자로(SMR)는 문죄인 괴뢰약탈정부의 탈원전 4년 만에 (2022년 2월 12일 프랑스가 원전 6기를 신규 건설 하겠다고 했다면 2022년 2월 11일 한국의 문죄인 괴뢰약탈정부는 28개 원전 예비해체 승인 하고) 차이나 일본 러시아 미국에 따라 잡히고 말았습니다 2022년 2월 1일 미 해양대기청 발표에 의하면 2020년 4월 29일 미국 미시시피에서 서울에서 부산까지의 왕복거리에 해당하는 768km의 사상 최대 천둥 번개(17초, 기상공격 무기 하퍼에 의한 인공 플라즈마?)가 치고, 2022년 1월 17일 통가화산이 폭발할 때 "7시간 동안 40만 발의 화산뢰(火山雷)가 발생했다" 밝혔습니다 •미국에서 주로 쓰는 세계지도에 대서양은 있어도 태평양이 없었다면, 한국에서 주로 쓰는 세계지도에는 태평양은 있어도 대서양은 없었고, 삼국사기 최치원전에서 백제가 백만강병으로 유 연 제 로(노)와 열도를 지배했다고 했다면, 이라크 바그다드 박물관에는 아랍의 지리학자 '무함마드 알 이드리시'가 1151년 그린 지도에 절강성과 안휘성의 서신라와 한반도의 동신라가 있었습니다 백제가 키(舵)를 발명했다면,신라 22대 지철로왕(智哲老王=智證王)은 AD 500년 사라 사로 신라라 불리던 나라 이름을 신라로 통일하고,신라는 새로운(新) 비단(羅)를 개발하여 나라 이름이 신라라 불렸으며, 신라는 비단을 팔기 위하여 하늘의 별자리를 보고(항성방위) 항해를 하는데 불편함을 느끼고 나침판(羅)을 발명했습니다 환웅건국 신화에 환웅과 곰과 범(호랑이라는 말은 1910년 부터 쓰이고)의 3부족이 있었다면, 아메리카 인디언에는 15000년 전 6000년 전 4000년 전 아메리카로 이동한 3 그룹이 있었고, 3그룹의 언어 혈액형 이빨은 완전히 차이가 났으며,9000년 전으로 추정되는 오리건주 포트 록 동굴에 짚신 삼태기 조리가 있었다면 뉴욕주에는 빛살무늬토기가 있었습니다 (인디언 마을 입구에는 한국의 장승과 같은 것이 있고,장승에는 머리 위에 곰을 이고 있는 것과 고래를 이고 있는 것이 있었으며,호피족 인디언(전쟁의 신을 한야 韓爺 Hania라 부르고)은 아메리카에 범이 살지 않으므로 호피(hopi 범 가죽)가 무슨 말인지 몰랐습니다) 2022년 2월 15일 밝삶갊 기상
38	이니	2022.02.14 22:58	560	1	0	나도 설렘썰 풀고 들을래	https://pann.nate.com/talk/365060625?page=2	나 틱톡보고 이거 깔았음 ㅋㅋㅋ 나두 설렘썰 잇다구 ㅠㅠ 다들 댓글에 설렘썰 풀고 가!! 새벽에 과자 까먹고 노래 들으면서 대리설렘하겡 ㅎㅎ.  일단 난 지금은 걔랑 나랑 트러블이 생겨서 손절 깟지만, 초4때부터 알고 지내던 사이엿어.  근데 내가 초4~6때는 남자애들이 편해서 남자애들이랑만 놀앗는데, 나 학교에 등교할땐 좀 일찍하는 편이양. 근데 등교를 일찍하면 쌤도 안 계시고 혼자자나! 마침 그 남자애도 일찍 등교하길래 친해졋어. 그 남자애가 너무 소심하고 낯을 진짜 많이 가려서, 내가 친화력은 진짜 쩌는데 걔랑 친해진다고 한달 걸림 ㅠㅠ. 그래서 친해지고 아침마다 만나서 얘기하구, 공놀이하구 등등 소소한 일상 얘기를 했고든? 근데 어느날, 내가 평소보다 쪼끔 늦게 등교를 했는데 항상 난 맨날 앞문으로 들오가. 그날도 별 탈 없이 잘 등교했고, 신발장에 신발 넣고 딱 앞문으로 들어갈려고 문을 열었는데 바로 앞에 그 남자애가 있는거야. 걔랑 나랑 키 차이도 좀 나는데 난 걔 명치 부분을 보고 있고 걔는 고개 숙이면서 내 정수리를 보고있었거든? 딱 나랑 눈 마주칠려고 숙이고 내 머리를 쓰다듬으면서, " ##아 오늘은 왜 늦게 왔어.. 기다리고 있었는데 뭔 일 있는건 아니지? " 하는데 ㅅㅂ 아침이라서 그런가 걔 목소리도 그때 좀 저음?이였고 걔 잘생겼다고 소문도 나 있었거든.. 존잘에다가 목소리도 저음인데 하 내가 미쳐 설레가지고 볼 빨게지고 그 날에는 걔 쳐다보지도 못했음 ㄹㅇ.. 조카 설렛어 ㅠㅠ
39	쓰니	2022.02.11 22:42	290	0	0	훈훈한 이야기네	https://pann.nate.com/talk/365011753?page=2	따뜻한 온풍이 불어온다훈훈하네 ㅋ
40	멋진인생	2022.02.11 05:37	1,731	13	3	나눔을 했는데 도리어 나눔을...	https://pann.nate.com/talk/364999961?page=2	요즘 당근에 나눔 많이 하시잖아요. 저도 가끔 하는데 사실 지금까지 나눔하면서 그 누구하나도 아무것도 챙겨오지 않고 오고 물건 챙겨 가시거든요. 저같은 경우는 뭘 바래서 나눔을 하는건 아니에요. 근데 이번 나눔으로 이렇게 좋은분도 있으시구나 라는걸 느껴서 제가 오히려 너무 감동을 받았어요.  제가 잠깐 해충 업계에 종사했었어요. 그러다가 이제 일은 접고 정리할게 있어서 바퀴벌레약을 나눔했거든요. 근데 오늘 오신다고 여쭈어보니까 오신다 해서 보일러실에 넣었죠. (저희 아파트는 보일러실이 밖에 있어서요.) 나중에 당근으로 쵸코렛을 넣으셨다고 하시더라구요… 사실 제가 감동받아서 오히려 더 챙겨드릴테니까 이번엔 꼭 빈손으로 오시라고 하셨는데 또 오렌지 쥬스를 넣어주신거에요. 제가 방역일을 잠깐 하면서 노하우를 알려드리고 그 다음날은 제가 바빠서 당근 메세지를 못봤어요. 근데 그 다다음날 새벽에 밀린 집안일 하고 당근 메세지 보니까 유기농 식빵이랑 사과를 오셔서 놓고 가셨다고 하시더라구요…ㅠㅠ 이분께서 오히려 몇번을 오셨다 가셨을까 혹여 힘드시지 않으셨을까. 이런저런 생각들이 참 많이 스치더라구요. 어쩌면 나는 욕심없이 아무것도 바램없이 내가 쓰지 않는 물건이 필요한 사람에게 가면 좋으니까요. 제가 나눔을 하고 오히려 나눔을 더 받은거같아서 글을 올립니다. 세상의 사람사는 온기 간만에 느끼네요ㅠㅠ
41	s	2022.02.11 02:03	440	2	0	밥좀먹고살고싶다 정상적으로 ..	https://pann.nate.com/talk/364998358?page=2	일을 마치고 배가 고파 엄마와 주안역에서 만나 김밥천국에 가서 저녁을 먹으려고 갔다.손님은 2테이블정도엿고 앞에 포장손님가고 가게도 한가로워보였다.메뉴를 고르려고 앉았다.뭘먹을지 고민하다 김밥1줄과 돌솥비빔밥을먹으려고 시켰는데아줌마가 김밥을 한줄싸서 주는줄알고 기다리는데 갑자기 그뒤에온 손님한테6~7줄정도 한꺼번에 다싸주고내 김밥은 한줄인데 심지어 먼저시켯는데 주지않았다.혼자 주지도않고 왓다리갓다리 뭘해야하는지 정신없이 움직이기만하고 주지않앗으며 늦어져서 미안하다는 설명조차없엇다.너무 기다리게하고 돌솥밥이아니라 김밥한줄 시킨게 나오지도 않아 그냥가겠다고 일어나니 가라고 나한테 못팔겟다고 그것도 못기다리냐며 뭐라고 나가는사람뒤에 대놓고 오히려 적반하장하더라.순서도 내가먼저엿는데,손님인데 왜늦는지이유 말도안해놓고 나중에가서 넘억울해서 말을하니 자기가 김밥에쌀밥이없어서 그거준비하러가느라 그렇게된거라고 말하고  주방으로 들어간거란다. 그럼 밥이 김밥집에 없는게 말이되냐고 그것도 한줄쌀 밥이없다는게 미안해하며 최소 어떤이윤지 늦는이유를 설명이나 했으면 내가 이렇게 화가나서 가서 따지지도 않았을것이다. 가서 왜그러셧냐 말하면 최소 또 그부분 미안하다 담에는 빨리해서 잘주겠다 김밥한줄 못먹고 가게해서 미안하다라고 한마디했으면 따지지않았을텐데 나도 그냥 좋게 좋게 나갓을것이다.같이 시킨거중 돌솥밥이라도 먼저 나오던지 뭐라도 줘야하는거아닌가 설명을해주던 좀 기다리시라 좋게 말을 하던 그중 하나도 없었다.오히려 그래놓고 왜여기와서 그러냐고 왜저러냐면서 날 이상한사람취급하고 영업방해로 경찰에신고한다니뭐한다니 개소리 협박하며 웃기는소리만하더라. 거짓말까지하며 지들은 늦는이유를설명햇다 이러면서 나를 이상한사람 취급하고 다른손님앞에서 도시락빈케이스를 내쪽으로 던지면서 지들이 뭘잘못해서 여기와서 이러냐면서  오히려 큰소리치고말이되나 설명이있엇으면 내가 이렇게 했을까, 밥먹겠다고 기다리다가 너무 어이가없고 순서에도 안주고 계속늦어서 한마디한걸 나아니여도 팔사람잇으니 나가라 꺼져라 취급받으면 그누가 좋겠냐 그 누가 기분이 괜찮을것인가다른곳에 가서 먹으려고 나와서 음식이 바로 나와 먹으려고 앉았는데 너무 기분나빠 한젓갈도 제대로먹지못하고 포장해서 그냥 나와버렷다 밥도 못먹었다.저녁을 망쳤다내일도 어떻게 될지 이기분으로 사는게 사는게 아니다돈을 벌어서 뭐하나 밥하나 사람취급받고 못먹는데돈을 주고 사먹으려고 해도 손님취급은커녕 거지취급하듯 막대하는데나는 손님권리도 말못하고 가만히 있는 가마니가 되어야하나.나도 기다릴만큼 기다렸고 ,끝까지 좋게나오려햇는데 나오는 뒷통수에까지 대고 못기다리고 오히려내가 너무하다며 적반하장이고 가라면가라고 하는데 그누가 밥맛이 있겠는가밥을 먹기전에 하루 일하고 맛잇게 저녁먹으려고 들어간곳에서 그런 더러운 꼴 당하고 그렇게 속상한기분을 가질지 어떻게 그누가 알았을까.너무 억울한 저녁이다  나한테 오히려 적반하장인지 난 돈주러 먹으러간 손님인데대접을 받겠다는게 아니다 정상적인 사람취급도 못받은기분이다.잘못은누가하고 오히려 핀잔은 내가 들어야하고 사람취급못받는지 도대체 어디서 밥을 먹어야하나 서민들이 가는 김밥천국에서 이런취급을 받았는데 이게 말이 되는지 엄마와 난 너무 힘든 오늘을 보냈다끝까지 사과받고 싶어 다시찾아 간 김밥천국에서는 엄마가 미안하다고좀 해주라고 애원을 하고 해서 겨우겨우 끝까지 잘햇다고하더니 가라고 한다 미안하니까 돌아가라고 대충버무리고 뒤에서 아저씨는 쳐앉아서 실실쪼개고있더라 무시하는듯,아줌마는 고집부리고 잘햇다고 씩씩대고 미안하다고못한다고 진심으로 말을 하지않는다 본인들이 뭘잘못했는지 모르겟다고 오히려 왜 내가 와서 저러냐고 또 한마디 하더라.사과받은거아니고 더 기분나쁜말이다.다시는 느끼고싶지않은 감정이고 다시는 그곳 주안2호점 김.천 가지 않을것이다.참고바란다.기분이 너무 안좋다
42	쓰니	2022.02.11 00:29	554	0	0	생명의 은인을 찾고있어요! 사람을 ...	https://pann.nate.com/talk/364996740?page=2	혹시 에이스연애클리닉에서강지선 상담자님을 알고 계시는 분이 있나요?제가 가장 힘들때, 가장 슬플때도움 받았던 분인데온라인 상담으로 진행되었던터라실재로 뵌 적이 없습니다.제가 극단적인 시도를 하고자 할때..쌤께 상담 중단을 알려드렸음에도끝까지 저를 놓치 않고 상담해주셨어요..그러던 중 시간이 지나 회사가 사라졌고..혹시나 싶어 메일을 보냈음에도 사라진 메일이라고 하네요..생명의 은인을 찾고 싶습니다.혹시 알고 계시는 분 있으실까요?
43	ㅇㅇ	2022.02.07 22:41	317	0	0	기자님 짱!!	https://pann.nate.com/talk/364938664?page=2	그냥 중국이 메달 모두 가져가라고 하자 그냥 중국이 메달 모두 가져가라고 하자 출처 : 서울신문 | 네이버  - http://naver.me/xI8jFJbT
